hospital,highest_bill
"and Simpson Gonzalez Johnson,",29167.06
"and Simpson, Castro Phillips",5970.52
"and Sims Martin Grant,",45102.20
"and Sims Robinson Martin,",971.52
"and Sims Sons",45001.86
"and Sims, Gonzalez Huff",46682.45
"and Singh Scott King,",11044.79
"and Singh, Hall Nichols",6271.94
"and Singh, Kelley Mack",4897.54
"and Singleton Jordan, Thornton",30719.76
"and Singleton Thomas, Wilson",25116.24
"and Singleton Wells, Glass",17611.59
"and Skinner, Simmons Scott",21717.02
"and Sloan Torres, Lucas",35602.16
"and Sloan, Myers Mosley",28481.92
"and Sloan, Ruiz Medina",41745.39
"and Small Gonzalez Smith,",29410.59
"and Small Gonzalez, Kaufman",37737.85
"and Small Sons",7764.12
"and Small Stephens Harrington,",51975.97
"and Small, Crane Hill",23337.39
"and Small, Ross Summers",29519.61
"and Smith Allen David,",17878.41
"and Smith Berg, Garza",10669.19
"and Smith Bowman, Bartlett",35909.95
"and Smith Brown, Grant",18372.04
"and Smith Bruce, Welch",32042.62
"and Smith Bryant, Gonzalez",31206.41
"and Smith Burton, Roberts",15530.76
"and Smith Clark Ibarra,",39844.80
"and Smith Cole Smith,",18043.86
"and Smith Conway, Byrd",31511.12
"and Smith Dickerson Hart,",43520.20
"and Smith Dudley Jones,",26755.21
"and Smith Dyer Vargas,",2616.85
"and Smith Escobar Brennan,",3791.03
"and Smith Flores Obrien,",19481.56
"and Smith Fowler, Williams",44432.90
"and Smith Fritz, Duncan",15851.75
"and Smith Gibson Taylor,",26539.77
"and Smith Greene, Lucero",38723.86
"and Smith Harmon, Marshall",26139.79
"and Smith Harris, Clark",31003.14
"and Smith Harris, Kim",41146.51
"and Smith Hernandez Graham,",40152.38
"and Smith Hogan, Weeks",13853.37
"and Smith Johnson, Clayton",38479.76
"and Smith Johnson, Johnson",48884.27
"and Smith Jordan, Rodriguez",11978.42
"and Smith Knox Brady,",17041.48
"and Smith Lewis Cherry,",39692.16
"and Smith Lewis Green,",9270.88
"and Smith Martin Yang,",15534.12
"and Smith Mccoy, Kline",18965.96
"and Smith Myers, Taylor",22160.07
"and Smith Navarro, Scott",7608.93
"and Smith Oneill Sanders,",17898.92
"and Smith Owens, Floyd",41511.59
"and Smith Pacheco Nguyen,",43342.45
"and Smith Patton, Stone",35672.50
"and Smith Reed, Garcia",43716.11
"and Smith Riddle, Reynolds",21856.39
"and Smith Riley, Gray",34359.69
"and Smith Rodriguez, Simpson",37596.89
"and Smith Saunders Johnson,",4477.83
"and Smith Scott Mahoney,",6019.02
"and Smith Simmons, Wise",11100.40
"and Smith Smith Collins,",47288.85
"and Smith Smith, Ryan",34290.95
"and Smith Sons",41072.75
"and Smith Sosa, Miller",30344.96
"and Smith Stewart Lee,",48106.57
"and Smith Thomas Snyder,",22917.15
"and Smith Thomas, Lee",45056.98
"and Smith Wang, Pham",39143.60
"and Smith Waters Stewart,",24356.90
"and Smith Wheeler, Stafford",44028.96
"and Smith Wilson Dougherty,",12364.30
"and Smith Wilson, Ortiz",16130.53
"and Smith Woods, Frost",41075.11
"and Smith, Alvarez Ellis",9030.68
"and Smith, Anderson White",11454.57
"and Smith, Ball Gregory",24417.41
"and Smith, Choi Reid",39537.46
"and Smith, Church Ortiz",31515.40
"and Smith, Clark Gaines",32455.35
"and Smith, Davis Morse",20998.63
"and Smith, Day Barnett",16639.03
"and Smith, Evans Stevens",44044.60
"and Smith, Fisher Kelly",38846.90
"and Smith, Fleming Little",16508.10
"and Smith, Foster Ellison",3323.99
"and Smith, Grant Zhang",23686.73
"and Smith, Gray Horton",10063.57
"and Smith, Hamilton Spencer",42615.14
"and Smith, Johnson Lamb",34146.99
"and Smith, Johnson Wilson",6019.15
"and Smith, Mayo Ware",16077.98
"and Smith, Morales Hammond",21946.76
"and Smith, Owens Cross",391.46
"and Smith, Porter Rivas",46550.31
"and Smith, Russo Molina",39730.28
"and Smith, Sanders Carey",9675.89
"and Smith, Sanders Walker",28168.66
"and Smith, Soto Rogers",23156.60
"and Smith, Tucker Cross",46377.87
"and Smith, Walker Hernandez",15668.28
"and Smith, Wallace Wong",26852.25
"and Smith, White Lawson",37995.43
"and Smith, Wood Mendoza",40102.83
"and Snow Martin Brown,",44472.62
"and Snow Sons",33516.33
"and Snyder Arnold, Sims",43066.73
"and Snyder Cameron Adams,",29886.73
"and Snyder Ortiz Erickson,",45252.11
"and Snyder, Kennedy Rodriguez",27433.86
"and Snyder, Whitaker Preston",23546.64
"and Solis Fisher Davidson,",47560.09
"and Solis, Bauer Allen",23258.57
"and Solomon Leon, Suarez",14649.70
"and Sons Acosta",34847.71
"and Sons Adams",1487.95
"and Sons Aguilar",31714.67
"and Sons Alexander",33698.40
"and Sons Allen",7655.94
"and Sons Anderson",39340.63
"and Sons Andrade",45487.31
"and Sons Ayala",29393.75
"and Sons Ayers",1749.23
"and Sons Bailey",46950.15
"and Sons Baker",27576.30
"and Sons Baldwin",47906.90
"and Sons Barnes",36655.18
"and Sons Barnett",6489.19
"and Sons Beasley",22655.10
"and Sons Bell",41621.02
"and Sons Benson",17762.30
"and Sons Berger",976.96
"and Sons Bernard",5025.76
"and Sons Bishop",42497.18
"and Sons Blackburn",30043.41
"and Sons Blackwell",33489.01
"and Sons Blake",29370.51
"and Sons Bond",40932.20
"and Sons Bonilla",7068.91
"and Sons Bowers",18221.75
"and Sons Bradford",24279.64
"and Sons Bradley",30262.97
"and Sons Brewer",29480.68
"and Sons Brooks",4137.98
"and Sons Brown",49269.32
"and Sons Bruce",7249.71
"and Sons Bryan",4844.98
"and Sons Bryant",21300.58
"and Sons Burns",-577.73
"and Sons Byrd",18129.48
"and Sons Campbell",19210.81
"and Sons Cantu",16036.95
"and Sons Carlson",14283.02
"and Sons Carr",47977.29
"and Sons Carrillo",30795.60
"and Sons Carroll",19305.05
"and Sons Carson",44873.57
"and Sons Carter",45316.23
"and Sons Castillo",16493.35
"and Sons Castro",46195.89
"and Sons Chandler",17813.64
"and Sons Chapman",1789.90
"and Sons Chen",22875.95
"and Sons Christian",33453.54
"and Sons Cisneros",35716.27
"and Sons Clark",27236.84
"and Sons Cole",28476.71
"and Sons Collins",4560.70
"and Sons Colon",23470.48
"and Sons Conner",29903.46
"and Sons Cook",4474.08
"and Sons Cooley",6388.20
"and Sons Cortez",23832.54
"and Sons Costa",11384.54
"and Sons Cox",8286.02
"and Sons Craig",29044.03
"and Sons Cunningham",22871.95
"and Sons Curry",47469.18
"and Sons Daniels",41823.53
"and Sons Daugherty",26214.11
"and Sons Davis",45397.78
"and Sons Dawson",49170.58
"and Sons Day",50200.03
"and Sons Deleon",31053.99
"and Sons Delgado",33526.33
"and Sons Dennis",8427.21
"and Sons Diaz",3111.37
"and Sons Dillon",38993.35
"and Sons Dixon",33708.86
"and Sons Donovan",11070.63
"and Sons Drake",7875.73
"and Sons Duke",30679.33
"and Sons Dunn",42977.70
"and Sons Durham",39778.62
"and Sons Dyer",37437.71
"and Sons Eaton",38929.57
"and Sons Edwards",39504.37
"and Sons Elliott",41758.50
"and Sons Erickson",47746.74
"and Sons Espinoza",1931.73
"and Sons Evans",20163.44
"and Sons Everett",2788.54
"and Sons Ferguson",38253.29
"and Sons Fisher",44667.69
"and Sons Flores",28135.40
"and Sons Ford",16648.55
"and Sons Franco",36835.13
"and Sons Franklin",30122.78
"and Sons Gallegos",39799.80
"and Sons Galloway",40619.58
"and Sons Garcia",44928.22
"and Sons Gillespie",23680.16
"and Sons Golden",24641.60
"and Sons Gomez",20948.06
"and Sons Gonzalez",10451.81
"and Sons Gordon",31044.32
"and Sons Gray",29298.46
"and Sons Green",22024.06
"and Sons Gregory",32462.54
"and Sons Griffin",48904.93
"and Sons Griffith",1812.27
"and Sons Guerrero",47478.72
"and Sons Gutierrez",40661.16
"and Sons Hall",43750.99
"and Sons Harper",43922.41
"and Sons Harrington",13675.54
"and Sons Harris",17224.96
"and Sons Hart",48229.29
"and Sons Hartman",19685.03
"and Sons Hawkins",24093.23
"and Sons Hayes",7556.06
"and Sons Hebert",48992.70
"and Sons Henderson",28225.03
"and Sons Hendrix",27225.45
"and Sons Henry",24184.57
"and Sons Hicks",23934.01
"and Sons Hines",45037.04
"and Sons Hogan",35117.36
"and Sons Holmes",18387.27
"and Sons Houston",14450.77
"and Sons Howard",9908.86
"and Sons Hubbard",40898.76
"and Sons Huber",42510.37
"and Sons Hudson",18237.72
"and Sons Hutchinson",37617.78
"and Sons Jackson",48718.06
"and Sons Jenkins",45127.79
"and Sons Jensen",26981.78
"and Sons Johnson",43993.10
"and Sons Jones",45769.30
"and Sons Keith",34440.89
"and Sons Keller",42889.97
"and Sons Kidd",38182.82
"and Sons Kim",32415.99
"and Sons King",30178.31
"and Sons Knight",47881.20
"and Sons Kramer",34214.88
"and Sons Lane",44218.04
"and Sons Larson",11214.31
"and Sons Lawson",31266.29
"and Sons Leach",27446.02
"and Sons Lee",49861.87
"and Sons Lewis",45811.58
"and Sons Li",11676.88
"and Sons Lin",4906.79
"and Sons Lindsey",48414.66
"and Sons Livingston",47302.62
"and Sons Lloyd",48305.42
"and Sons Long",47697.49
"and Sons Lowery",31163.93
"and Sons Luna",7202.90
"and Sons Lynch",26066.49
"and Sons Mahoney",21354.63
"and Sons Maldonado",26236.12
"and Sons Marsh",25834.04
"and Sons Marshall",45940.91
"and Sons Martin",37068.44
"and Sons Martinez",16247.69
"and Sons Mathis",34113.07
"and Sons Matthews",44455.54
"and Sons Maxwell",20121.99
"and Sons Mays",25666.77
"and Sons Mcbride",4808.82
"and Sons Mccall",13026.28
"and Sons Mcclain",6302.46
"and Sons Mcdaniel",44458.94
"and Sons Mcgee",44378.40
"and Sons Mckay",49409.98
"and Sons Mckinney",701.74
"and Sons Mcknight",33895.47
"and Sons Meadows",25823.10
"and Sons Melton",38689.31
"and Sons Mendez",48949.30
"and Sons Miller",43063.40
"and Sons Mills",26046.56
"and Sons Mitchell",26244.92
"and Sons Montes",27148.72
"and Sons Montgomery",21354.76
"and Sons Montoya",30293.37
"and Sons Moon",38484.86
"and Sons Moore",49705.26
"and Sons Mora",14705.64
"and Sons Morales",41723.05
"and Sons Moran",26218.61
"and Sons Morgan",46018.04
"and Sons Morris",33964.44
"and Sons Morrison",14590.35
"and Sons Morton",35571.42
"and Sons Mullins",3714.18
"and Sons Munoz",36492.75
"and Sons Murphy",28674.05
"and Sons Murray",15731.09
"and Sons Myers",47476.46
"and Sons Nelson",40274.74
"and Sons Nguyen",8316.69
"and Sons Norris",42290.50
"and Sons Olson",16648.69
"and Sons Oneal",10936.39
"and Sons Ortega",15163.52
"and Sons Ortiz",49240.54
"and Sons Osborne",28822.51
"and Sons Owens",37778.60
"and Sons Pacheco",16046.84
"and Sons Padilla",6625.85
"and Sons Parker",31433.15
"and Sons Parrish",23588.37
"and Sons Patel",30356.76
"and Sons Patton",38227.80
"and Sons Payne",17968.49
"and Sons Perkins",24653.15
"and Sons Peterson",23392.52
"and Sons Pham",43779.92
"and Sons Phelps",36683.92
"and Sons Phillips",42385.05
"and Sons Pierce",46509.33
"and Sons Pitts",4147.18
"and Sons Pope",35821.85
"and Sons Powell",5921.60
"and Sons Powers",32691.92
"and Sons Price",45920.24
"and Sons Pruitt",12130.82
"and Sons Ramirez",3028.40
"and Sons Rangel",34224.35
"and Sons Reed",20251.21
"and Sons Reid",51017.33
"and Sons Reyes",29504.39
"and Sons Reynolds",21231.72
"and Sons Rhodes",1871.76
"and Sons Richard",11679.77
"and Sons Richardson",47237.69
"and Sons Rios",2227.25
"and Sons Rivas",32250.29
"and Sons Rivera",4527.00
"and Sons Robbins",21976.20
"and Sons Roberts",6493.76
"and Sons Robinson",4979.78
"and Sons Rodgers",10547.48
"and Sons Rodriguez",37208.06
"and Sons Rogers",37126.01
"and Sons Romero",17441.12
"and Sons Ross",7536.61
"and Sons Rowe",30563.51
"and Sons Rubio",10723.65
"and Sons Salas",17488.62
"and Sons Sanchez",45737.86
"and Sons Sanders",43400.67
"and Sons Santos",29479.14
"and Sons Saunders",37189.28
"and Sons Schmidt",45294.66
"and Sons Schmitt",42531.78
"and Sons Scott",43012.08
"and Sons Shaffer",21042.40
"and Sons Shaw",49013.40
"and Sons Shepherd",47549.55
"and Sons Sherman",18234.70
"and Sons Simmons",29292.47
"and Sons Singh",36415.94
"and Sons Sloan",24757.27
"and Sons Smith",37574.78
"and Sons Sparks",21187.74
"and Sons Stafford",14578.18
"and Sons Stephens",42078.22
"and Sons Stevens",24112.30
"and Sons Stokes",14960.04
"and Sons Sutton",39219.81
"and Sons Taylor",29027.34
"and Sons Thomas",35624.01
"and Sons Thompson",8820.50
"and Sons Torres",33862.89
"and Sons Trujillo",38598.48
"and Sons Tucker",28978.37
"and Sons Turner",3231.89
"and Sons Valencia",25462.77
"and Sons Valentine",43999.39
"and Sons Vazquez",12875.35
"and Sons Vega",18924.09
"and Sons Velasquez",29473.96
"and Sons Villanueva",3931.21
"and Sons Walker",39142.89
"and Sons Walters",33601.00
"and Sons Ward",37637.01
"and Sons Warren",16986.24
"and Sons Watkins",26189.46
"and Sons Weber",16690.58
"and Sons Webster",24722.26
"and Sons West",5863.39
"and Sons White",47050.22
"and Sons Wilkerson",40653.09
"and Sons Wilkinson",21292.06
"and Sons Williams",45458.78
"and Sons Wilson",32698.44
"and Sons Wise",49547.34
"and Sons Wong",46348.71
"and Sons Wood",31999.30
"and Sons Wright",35169.21
"and Sons Yates",42369.72
"and Sons Young",43695.91
"and Sons Zhang",33080.92
"and Soto Benson Bailey,",13244.30
"and Soto Bishop, Thompson",41051.98
"and Soto Watts Fitzgerald,",35700.57
"and Soto, Patterson Allison",36985.35
"and Soto, Stone Phillips",45545.57
"and Sparks Perkins, Smith",20037.26
"and Sparks, Simmons Miles",15691.97
"and Spears Donaldson Mcmillan,",22488.33
"and Spears, Mathis Clark",16120.91
"and Spence Armstrong Moreno,",35258.24
"and Spence Hendricks Hampton,",16938.17
"and Spencer Beck Decker,",15206.90
"and Spencer Graves Norris,",7230.90
"and Spencer Johnson Lewis,",1539.61
"and Spencer Pratt Garner,",1512.99
"and Spencer Shepherd Carter,",3118.21
"and Spencer, Richards Bryant",6747.59
"and Stafford Johnson, Spears",47927.81
"and Stafford Lee Price,",7328.34
"and Stafford Walker, Hawkins",13406.25
"and Stanley Murray, Conley",17574.41
"and Stanley Schneider, Webster",22623.96
"and Stanley Sons",9614.25
"and Stanley, Mitchell Lindsey",7515.00
"and Stanton Singleton Kim,",17124.98
"and Stark Bailey, Carey",42635.66
"and Steele Cross Sanchez,",10746.34
"and Steele Howard, Blair",47091.09
"and Steele Miller Butler,",6140.31
"and Steele, Bush Turner",19726.70
"and Steele, Herrera Mendoza",45539.12
"and Stein Sons",14939.02
"and Stein Velez, Turner",26345.90
"and Stein Wood Johnson,",19888.23
"and Stephens Elliott, Fox",9364.00
"and Stephens Guzman, Petersen",47968.78
"and Stephens Kelly, Meyer",15004.17
"and Stephens Ortiz Campbell,",9472.90
"and Stephens Sawyer, Collins",11024.48
"and Stephens Sons",3840.15
"and Stephens Wilson Perez,",34290.19
"and Stephens, Barnett Robinson",42551.59
"and Stephens, Owen Sullivan",9479.70
"and Stevens Clark Rodriguez,",27849.86
"and Stevens Fernandez, Davis",9574.72
"and Stevens Nichols, Gardner",33914.05
"and Stevens Sons",31056.80
"and Stevens, Nash Macias",18807.51
"and Stevenson Leblanc Hawkins,",30383.58
"and Stevenson Morton, Barnett",31586.43
"and Stevenson Pineda, Spencer",37551.17
"and Stevenson Thomas Bennett,",40298.60
"and Stevenson, Lopez Richardson",43772.56
"and Stevenson, Ochoa Harrington",11030.00
"and Stewart Brown Perez,",7021.19
"and Stewart Burton, Skinner",5356.84
"and Stewart Campos Spears,",3653.40
"and Stewart Duncan Wilson,",48073.25
"and Stewart Norris, Love",10629.47
"and Stewart Phelps, Potts",10669.53
"and Stewart Phillips, Kim",28240.54
"and Stewart Rodgers, Hernandez",37239.54
"and Stewart Smith, Leach",30198.56
"and Stewart Smith, Perez",33971.62
"and Stewart Sons",19444.52
"and Stewart Vaughn, Brown",41009.31
"and Stewart, Garcia Johnson",35398.18
"and Stewart, Howard Obrien",12438.16
"and Stewart, Price Johnson",26734.86
"and Stewart, Smith Atkinson",47831.18
"and Stokes Allen, Khan",5877.12
"and Stone Booth, Garcia",5954.73
"and Stone Rogers, James",35979.70
"and Stone Smith, Jones",24509.02
"and Stone Sons",26447.66
"and Stone Wright, Moore",12658.82
"and Stone, Brown Singleton",34066.66
"and Stone, Flores Schmitt",42863.32
"and Stone, Moore Fisher",15409.37
"and Stone, Smith Matthews",41248.22
"and Stout Armstrong, Jones",45165.09
"and Stout, Berg Sampson",27902.00
"and Stout, Harrison Peterson",36608.29
"and Strong Cline Roberts,",28941.18
"and Strong Garrett, Jones",2912.24
"and Suarez Sons",42014.05
"and Sullivan Carroll Fox,",20496.98
"and Sullivan Jackson, Johnson",10055.14
"and Sullivan Martinez Abbott,",42191.65
"and Sullivan Sons",16939.91
"and Sullivan Stephenson Evans,",35440.77
"and Sullivan Welch, Johnson",17204.74
"and Sullivan, Anderson Hayes",37885.08
"and Sullivan, Gardner Stevenson",30979.55
"and Sullivan, Jackson Moran",40252.87
"and Sullivan, Jones Michael",41741.23
"and Sullivan, Mcclure Shields",41222.01
"and Summers Day Espinoza,",37508.45
"and Summers Edwards, Bailey",14716.13
"and Summers, Boyd Nichols",28444.42
"and Summers, Smith Saunders",17021.36
"and Sutton Christensen Freeman,",44798.51
"and Sutton Frank Rojas,",17275.51
"and Sutton Gomez, Clark",36211.74
"and Sutton Sons",36083.64
"and Sutton Yates Powers,",30676.92
"and Sutton, Caldwell Moore",3417.04
"and Sutton, Powell Patterson",39663.91
"and Swanson Mejia Lawson,",24002.96
"and Swanson Norris Thomas,",39205.61
"and Swanson Proctor Daniels,",32786.67
"and Swanson Wiley, Kirby",37889.14
"and Sweeney Moore Jackson,",38472.25
"and Sweeney, Black Richards",27855.29
"and Sweeney, Leblanc Hall",35086.26
"and Tanner Ramsey Price,",30309.40
"and Tapia Anderson Mcdonald,",4269.33
"and Tapia Cole, Casey",32730.25
"and Tapia, Thompson Gonzalez",12487.96
"and Tate Richardson King,",48108.22
"and Tate Smith, Garcia",47890.78
"and Tate Sons",27764.23
"and Tate, Harding Spencer",2169.99
"and Tate, White Long",44982.48
"and Taylor Casey Moore,",5787.96
"and Taylor Davis, Oneal",929.93
"and Taylor Evans, Valenzuela",4306.11
"and Taylor Glover, Jackson",8756.28
"and Taylor Howe Shelton,",40932.33
"and Taylor Jackson, Thomas",42980.82
"and Taylor Kelly, King",10247.89
"and Taylor Lambert Herrera,",17400.27
"and Taylor Lewis, Evans",42492.89
"and Taylor Morgan, Simpson",31953.74
"and Taylor Murillo Estrada,",38126.71
"and Taylor Phillips Martinez,",42166.12
"and Taylor Ramirez Ross,",16893.69
"and Taylor Sons",46025.35
"and Taylor Summers, Powell",6820.93
"and Taylor Walker, Stokes",6628.59
"and Taylor West, Bradley",17620.49
"and Taylor, Bishop Dillon",25415.60
"and Taylor, Castillo Perry",20262.27
"and Taylor, Lin Wells",27826.24
"and Taylor, Miller Mckinney",22428.75
"and Taylor, Ramirez Bray",16461.54
"and Taylor, Thomas Adams",26646.25
"and Taylor, Townsend Kennedy",8034.20
"and Terry Preston Ross,",32907.26
"and Terry, Little Hernandez",32714.15
"and Thomas Anderson, Wilson",51186.59
"and Thomas Ballard, Stewart",16760.65
"and Thomas Brooks Owens,",35560.35
"and Thomas Butler, Crawford",35445.00
"and Thomas Cunningham, Curtis",39125.05
"and Thomas Davila, Mccoy",41996.32
"and Thomas Dawson, Riley",19124.40
"and Thomas Duncan, Schneider",10359.08
"and Thomas Foster Butler,",2413.50
"and Thomas Giles Brooks,",12415.15
"and Thomas Hogan, Austin",16916.82
"and Thomas Johnson, Stein",44173.09
"and Thomas Lopez Lamb,",40278.99
"and Thomas Palmer Cooke,",36065.54
"and Thomas Robinson Lopez,",38634.43
"and Thomas Sawyer, Watkins",31223.25
"and Thomas Sons",43495.04
"and Thomas Soto Williams,",6418.24
"and Thomas Strong, Cook",47701.48
"and Thomas Williams Harris,",9010.29
"and Thomas, Brown Shepherd",37126.42
"and Thomas, Chapman Martinez",23170.43
"and Thomas, Contreras King",32611.40
"and Thomas, Cooper Chambers",16121.07
"and Thomas, Sampson Brown",7269.70
"and Thomas, Smith Bailey",25331.01
"and Thomas, White Davila",9218.57
"and Thompson Bailey, Martinez",41847.56
"and Thompson Barajas Chandler,",47010.43
"and Thompson Briggs, Estes",33562.05
"and Thompson Brock, Castro",17983.82
"and Thompson Burke, Harrington",3516.85
"and Thompson Campbell, Steele",2574.76
"and Thompson Cook Wiggins,",43277.56
"and Thompson Evans, Garcia",25633.50
"and Thompson Johnson, Thomas",26877.32
"and Thompson Kelly Sanders,",31628.43
"and Thompson Kelly, Smith",33011.30
"and Thompson Marquez, Sanchez",10013.43
"and Thompson Mccall, Brooks",5009.97
"and Thompson Moore, Torres",41443.68
"and Thompson Phillips Morris,",26158.49
"and Thompson Rodriguez, Murphy",21655.03
"and Thompson Sandoval Smith,",49503.64
"and Thompson Schultz Johnson,",5435.01
"and Thompson Sons",40028.99
"and Thompson Stone Coleman,",48787.18
"and Thompson Thompson White,",50058.55
"and Thompson Warren Potts,",7790.05
"and Thompson Wright Johnson,",32693.38
"and Thompson, Mendez Hunter",28248.62
"and Thompson, Mendez Sweeney",10469.16
"and Thompson, Miller Conley",8444.07
"and Thompson, Miller Gordon",768.61
"and Thompson, Thornton Hester",37202.99
"and Thornton Goodwin, Garcia",13055.17
"and Thornton Wells Morton,",2652.84
"and Thornton, Fuller Brandt",23150.87
"and Todd George Webb,",40339.25
"and Todd Munoz Foster,",14644.52
"and Torres Coleman, Hancock",1921.27
"and Torres Evans, Kane",28587.71
"and Torres Hart, White",6366.40
"and Torres Johnson Tran,",30263.98
"and Torres Martinez Stewart,",15944.29
"and Torres Newman Reed,",17019.92
"and Torres Phillips, Hardy",3813.02
"and Torres Sons",30934.11
"and Torres Wilson, Mann",42692.36
"and Torres Wilson, Moreno",43448.42
"and Torres, Lopez Dean",8508.11
"and Torres, Rios Park",19241.98
"and Torres, Shepard Boyd",41239.81
"and Townsend Daniels, Smith",46154.50
"and Townsend, Gonzalez Walker",26506.86
"and Tran Evans Fowler,",3702.14
"and Tran Fields, Harris",32842.75
"and Tran Lara, Nguyen",18002.54
"and Tran Miller, Lee",20156.23
"and Tran Olsen Curry,",38934.47
"and Tran Patrick Hull,",41783.58
"and Tran Rhodes, Kelly",38380.15
"and Tran Sons",49938.47
"and Tran Tucker Barr,",21490.66
"and Tran Wall Harvey,",16938.80
"and Tran, Parker Hamilton",25787.03
"and Travis, Allen Holloway",28767.67
"and Trevino Nicholson Martinez,",39362.45
"and Trevino Ross Garrison,",7646.61
"and Trevino Sons",5269.45
"and Trevino, Russell Johnson",35796.33
"and Trujillo Delgado, Williams",47576.37
"and Trujillo, Velazquez Sandoval",20969.88
"and Tucker Contreras, Ramirez",41931.17
"and Tucker Klein, Wells",28056.00
"and Tucker Knox, Gill",10070.62
"and Tucker Myers, Jennings",18701.98
"and Tucker Roberts Stewart,",10555.98
"and Tucker Sons",31950.22
"and Tucker Sutton, Norris",39888.10
"and Tucker Torres, Monroe",35124.55
"and Tucker Wilson, Wheeler",49634.84
"and Tucker Wright, Best",10208.43
"and Tucker, Crawford Roach",28754.52
"and Turner Le, Raymond",43459.11
"and Turner Martinez, Conrad",27714.11
"and Turner Morales Cole,",17331.98
"and Turner Powell, Keller",414.27
"and Turner Richard Roberts,",7500.43
"and Turner Shannon, Smith",14491.63
"and Turner Torres, Garrison",30182.16
"and Turner Watkins Haynes,",39706.95
"and Turner Wilkins, Good",2726.88
"and Turner, Beasley White",25333.80
"and Turner, Collins Holder",8229.37
"and Turner, Holt Oconnor",13959.42
"and Turner, Williams Hall",42333.53
"and Turner, Zhang Love",30249.24
"and Tyler Burns Garcia,",1400.28
"and Tyler Nelson, Rodriguez",7086.19
"and Tyler, Gomez Chavez",5053.79
"and Tyler, Morgan Nelson",16730.29
"and Underwood Evans Morgan,",13138.36
"and Underwood Humphrey Vasquez,",38249.55
"and Underwood Sons",33464.51
"and Underwood, Benjamin Baker",25369.62
"and Valdez Sons",50375.78
"and Valdez Watkins Andrews,",24826.95
"and Valencia Flores, Byrd",35722.02
"and Valencia Gallagher, Salazar",14316.65
"and Valencia Rivera Vaughn,",26169.71
"and Valentine, Benitez Carey",14814.14
"and Valenzuela, Davidson Bishop",40778.07
"and Vance Berry Hernandez,",1121.89
"and Vang Sons",45148.55
"and Vargas English Johnson,",2507.27
"and Vargas Hall, Chapman",1000.70
"and Vargas Hardin, Miller",48563.76
"and Vargas Morgan Ferguson,",10364.20
"and Vargas Reynolds Evans,",41632.52
"and Vargas Sampson Young,",15801.69
"and Vasquez Byrd Payne,",11473.54
"and Vasquez Cox, Miller",28980.88
"and Vasquez, Smith Riley",9505.47
"and Vaughan Green, Cruz",33239.84
"and Vaughan Williams Powers,",24647.58
"and Vaughn Kerr Ewing,",21138.80
"and Vazquez Arias Chan,",30992.07
"and Vazquez Tyler, Quinn",15736.77
"and Vazquez Ward Banks,",3670.13
"and Vazquez, Burns Smith",36443.23
"and Vega Gonzales, Coffey",11269.63
"and Vega Jones, Bautista",5288.30
"and Vega Peterson James,",38008.72
"and Velasquez Fletcher James,",20565.03
"and Velasquez Freeman, Roberts",50041.80
"and Velasquez Marshall, Contreras",14285.99
"and Velasquez Sons",37723.36
"and Velasquez, Byrd Fitzgerald",26106.25
"and Velasquez, Oneal Kennedy",43605.35
"and Velasquez, Rodgers Leach",6189.66
"and Velazquez, Cunningham Brown",14981.87
"and Villa Gonzalez, Mueller",36181.09
"and Villa Maddox Hall,",27993.89
"and Villarreal Estrada Hamilton,",4689.72
"and Villarreal, Buckley Kelly",40747.50
"and Vincent Lee, Lee",22929.56
"and Vincent, Taylor Stewart",5767.35
"and Wade Moore, Weeks",13835.23
"and Wade Sons",20219.17
"and Wade, Huffman Arnold",-228.55
"and Wade, Rodriguez Acosta",47210.78
"and Wagner Davis Williams,",27599.53
"and Wagner, Lee Klein",-306.36
"and Wagner, Lee Underwood",7375.03
"and Wagner, Marshall Burns",50881.66
"and Walker Brown Johnson,",31412.18
"and Walker Brown Lee,",15335.75
"and Walker Caldwell, Dunlap",49937.04
"and Walker Fleming Wong,",12962.58
"and Walker Glenn, Long",3845.40
"and Walker Kennedy, Miller",39424.30
"and Walker Martin, Hood",15213.01
"and Walker Mcintosh Dickerson,",16484.48
"and Walker Rivera, Powell",39325.63
"and Walker Santana, Cunningham",18323.76
"and Walker Schmidt, Soto",37461.43
"and Walker Smith Cannon,",34469.85
"and Walker Sons",40410.31
"and Walker Walker Salinas,",7976.76
"and Walker, Davis Craig",2114.07
"and Walker, Deleon Anderson",20815.73
"and Walker, Li Gomez",32540.97
"and Walker, Rojas Martin",41507.90
"and Wall Carpenter Bishop,",1682.52
"and Wall Mcclain Valdez,",19825.53
"and Wall Parks Martin,",11926.11
"and Wall, Williams Jensen",39351.22
"and Wallace Cummings, Byrd",19553.17
"and Wallace David, White",45376.48
"and Wallace Larson, Berry",25309.20
"and Wallace Nguyen, Myers",44637.13
"and Wallace Oconnor Weeks,",16038.28
"and Wallace Rodriguez, Jones",45806.21
"and Wallace, Tucker Palmer",44262.33
"and Waller Ross Oconnor,",31555.75
"and Walls Black Morgan,",19743.13
"and Walsh Bell Wong,",35648.72
"and Walsh Green Williams,",49320.89
"and Walsh Marquez Williams,",4473.67
"and Walsh Sons",46181.25
"and Walsh, Floyd Owens",35776.64
"and Walsh, Jennings Lee",5077.62
"and Walsh, Montoya Peterson",12993.28
